ticker,name,sector,market
VRSN,Verisign,Information Technology,S&P 500
VRSK,Verisk Analytics,Industrials,S&P 500
VZ,Verizon,Communication Services,S&P 500
VRTX,Vertex Pharmaceuticals,Health Care,S&P 500
VRT,Vertiv,Industrials,S&P 500
VTRS,Viatris,Health Care,S&P 500
VICI,Vici Properties,Real Estate,S&P 500
V,Visa Inc.,Financials,S&P 500
VST,Vistra Corp.,Utilities,S&P 500
VMC,Vulcan Materials Company,Materials,S&P 500
WRB,W. R. Berkley Corporation,Financials,S&P 500
GWW,W. W. Grainger,Industrials,S&P 500
WAB,Wabtec,Industrials,S&P 500
WMT,Walmart,Consumer Staples,S&P 500
DIS,Walt Disney Company (The),Communication Services,S&P 500
WBD,Warner Bros. Discovery,Communication Services,S&P 500
WM,Waste Management,Industrials,S&P 500
WAT,Waters Corporation,Health Care,S&P 500
WEC,WEC Energy Group,Utilities,S&P 500
WFC,Wells Fargo,Financials,S&P 500
WELL,Welltower,Real Estate,S&P 500
WST,West Pharmaceutical Services,Health Care,S&P 500
WDC,Western Digital,Information Technology,S&P 500
WY,Weyerhaeuser,Real Estate,S&P 500
WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,S&P 500
WMB,Williams Companies,Energy,S&P 500
WTW,Willis Towers Watson,Financials,S&P 500
WDAY,"Workday, Inc.",Information Technology,S&P 500
WYNN,Wynn Resorts,Consumer Discretionary,S&P 500
XEL,Xcel Energy,Utilities,S&P 500
XYL,Xylem Inc.,Industrials,S&P 500
YUM,Yum! Brands,Consumer Discretionary,S&P 500
ZBRA,Zebra Technologies,Information Technology,S&P 500
ZBH,Zimmer Biomet,Health Care,S&P 500
ZTS,Zoetis,Health Care,S&P 500
AC.PA,Accor,n/a (Paris),Euronext 100
ADP.PA,Aéroports de Paris,n/a (Paris),Euronext 100
ADYEN.AS,Adyen,n/a (Amsterdam),Euronext 100
AGN.AS,Aegon,n/a (Amsterdam),Euronext 100
A5G.IR,AIB,n/a (Dublin),Euronext 100
AI.PA,Air Liquide,n/a (Paris),Euronext 100
AIR.PA,Airbus,n/a (Paris),Euronext 100
AKRBP.OL,Aker,n/a (Oslo),Euronext 100
